village_name,census_code,district,block,url
Melchhamunda,37002760,Unknown,Unknown,https://odisha.villagecodes.in/bargarh/melchhamunda-37002760/
Padmapur,37002757,Unknown,Unknown,https://odisha.villagecodes.in/bargarh/padmapur-37002757/
Paikamal,37002755,Unknown,Unknown,https://odisha.villagecodes.in/bargarh/paikamal-37002755/
Sohela,37002761,Unknown,Unknown,https://odisha.villagecodes.in/bargarh/sohela-37002761/
List of Talukas in Baudh district for Village CodesTheOdisha Village Codesdirectory provides information onCensus codes of Talukas and Villages in Baudh district. This district is located in Odisha state of India and having district-code 391. The below code table helps you to browse the list of census code information taluka-wise.Sl. No.Tehsil NameCensus Taluka Code1Baudh Sadar031302Baunsuni031293Harbhanga031324Kantamal031275Manamunda031286Puruna Katak03131,,Unknown,Unknown,
Baudh Sadar,39103130,Unknown,Unknown,https://odisha.villagecodes.in/baudh/baudh-sadar-39103130/
Baunsuni,39103129,Unknown,Unknown,https://odisha.villagecodes.in/baudh/baunsuni-39103129/
Harbhanga,39103132,Unknown,Unknown,https://odisha.villagecodes.in/baudh/harbhanga-39103132/
Kantamal,39103127,Unknown,Unknown,https://odisha.villagecodes.in/baudh/kantamal-39103127/
Manamunda,39103128,Unknown,Unknown,https://odisha.villagecodes.in/baudh/manamunda-39103128/
Puruna Katak,39103131,Unknown,Unknown,https://odisha.villagecodes.in/baudh/puruna-katak-39103131/
List of Talukas in Bhadrak district for Village CodesTheOdisha Village Codesdirectory provides information onCensus codes of Talukas and Villages in Bhadrak district. This district is located in Odisha state of India and having district-code 378. The below code table helps you to browse the list of census code information taluka-wise.Sl. No.Tehsil NameCensus Taluka Code1Agarpada029102Bansada029203Bant029114Basudebpur029155Bhadrak Rural029146Bhandari Pokhari029127Chandabali029198Dhamanagar029139Dhamara Marine0292110Dhusuri0291811Naikanidihi0291612Tihidi02917,,Unknown,Unknown,
Agarpada,37802910,Unknown,Unknown,https://odisha.villagecodes.in/bhadrak/agarpada-37802910/
